id,effectV2,effectV1
5086,Target asserts that he'll vanish into the sky if he's wounded, Target cannot be hit by +1 or better weapons for d20 rounds
5087,Target asserts that he's a ghost and must haunt this area, Target cannot be injured by steel
5088,Target asserts that he's a highly qualified thoracic surgeon, Target cannot be injured while he sleeps
5089,Target asserts that he's a mighty warrior despite the evidence, Target cannot be magically held
5090,Target asserts that he's a Summoned creature about to be banished, Target cannot be seen in mirrors
5091,Target asserts that he's a traveler from an antique land, Target cannot be tracked by nonmagical means
5092,Target asserts that he's an assassin from the distant future, Target cannot breathe while exposed to direct sunlight
5093,Target asserts that he's an avatar of the caster's deity, Target cannot bring his hands closer together than one foot
5094,Target asserts that he's been fatally wounded, Target cannot cast a spell without first announcing his name
5095,Target asserts that he's been repeatedly destroyed and rebuilt, Target cannot close his mouth
5096,Target asserts that he's been replaced by a doppelganger, Target cannot close his mouth until dawn
5097,Target asserts that he's brother to dragons and companion to owls, Target cannot comprehend numbers greater than twenty
5098,Target asserts that he's come to deliver his people from bondage, Target cannot control Elementals summoned by him
5099,Target asserts that he's eager to exterminate his species, Target cannot control his own Illusion spells
5100,Target asserts that he's found a plot to wipe out his species, Target cannot cross a threshold without knocking
5101,Target asserts that he's hunting a monster from the distant past, Target cannot cross flowing water under his own power
5102,Target asserts that he's immune to magic, Target cannot die while the caster lives
5103,Target asserts that he's on a quest to destroy a mighty artifact, Target cannot digest meat
5104,Target asserts that he's on a rock outcrop surrounded by lava, Target cannot distinguish between left and right
5105,Target asserts that he's on the verge of exterminating his race, Target cannot distinguish between very hot and very cold
5106,Target asserts that he's one of many clones of the real target, Target cannot drown if he carries a torch
5107,Target asserts that he's protected by an unholy host of demons, Target cannot eat cooked meat except by moonlight
5108,Target asserts that he's rapidly bleeding to death, Target cannot eat food unless he prepares it himself
5109,Target asserts that he's responsible for many thousands of deaths, Target cannot eat or drink between dawn and dusk
5110,Target asserts that he's standing at the bottom of a deep well, Target cannot enter a building unless invited
5111,Target asserts that he's standing on a ledge over an infinite pit, Target cannot enter a room without announcing himself
5112,Target asserts that he's supernaturally beautiful, Target cannot exit a room through the door by which he entered
5113,Target asserts that he's the embodiment of a mighty artifact, Target cannot fall asleep except when standing up
5114,Target asserts that he's the mightiest warrior in the world, Target cannot fall asleep unless sung to
5115,Target asserts that he's the world's most powerful magic user, Target cannot fall asleep unless told to do so
5116,Target asserts that he's transforming into some kind of beast, Target cannot fall asleep while wearing clothing
5117,Target asserts that he's unspeakably ugly, Target cannot inflict any form of physical harm for d10 rounds
5118,Target asserts that he's water soluble, Target cannot inflict any form of physical harm for d4 rounds
5119,Target asserts that his actions are in accordance with prophecy, Target cannot inflict any form of physical harm for d6 rounds
5120,Target asserts that his actions shape the destiny of the world, Target cannot inflict any form of physical harm for d8 rounds
5121,Target asserts that his allies have forsaken him, Target cannot leave a building unless told to do so
5122,Target asserts that his birth occurred under odd circumstances, Target cannot leave a room while othersâ€™ eyes are upon him
5123,Target asserts that his blood is worth more than gold, Target cannot leave his home without first casting a spell
5124,Target asserts that his body and head are two symbiotic organisms, Target cannot open both eyes simultaneously
5125,Target asserts that his clothes are writhing with snakes, Target cannot open doors for himself
